date,kse_close
2016-03-01,31509.109999999997
2016-03-02,31772.9
2016-03-03,32146.58
2016-03-04,32441.74
2016-03-07,33022.6
2016-03-08,33032.850000000006
2016-03-09,32957.98
2016-03-10,32710.56
2016-03-11,32669.16
2016-03-14,32738.56
2016-03-15,32623.02
2016-03-16,32891.08
2016-03-17,32957.75
2016-03-18,33080.4
2016-03-21,33022.87
2016-03-22,32928.3
2016-03-24,32801.880000000005
2016-03-25,32876.55
2016-03-28,32904.32
2016-03-29,32879.67
2016-03-30,32922.4
2016-03-31,33139
2016-04-01,33449.619999999995
2016-04-04,33808.42
2016-04-05,33766.49
2016-04-06,33946.37
2016-04-07,33896.03
2016-04-08,33967.54
2016-04-11,33566.219999999994
2016-04-12,33616.9
2016-04-13,33646.1
2016-04-14,33767.59
2016-04-15,33767.119999999995
2016-04-18,33759.97
2016-04-19,33729.619999999995
2016-04-20,33619.840000000004
2016-04-21,33572.13
2016-04-22,33739.54
2016-04-25,33684.56
2016-04-26,33847.74
2016-04-27,34269.28
2016-04-28,34503.64
2016-04-29,34719.28999999999
2016-05-02,34567.52
2016-05-03,34897.3
2016-05-04,35317.56
2016-05-05,35949.4
2016-05-06,35973.68
2016-05-09,36234.99
2016-05-10,36265.119999999995
2016-05-11,36266.229999999996
2016-05-12,36048.759999999995
2016-05-13,36122.49
2016-05-16,36125.37
2016-05-17,36137.119999999995
2016-05-18,36318.21
2016-05-19,36685.05
2016-05-20,36693.5
2016-05-23,36723.350000000006
2016-05-24,36582.350000000006
2016-05-25,36499.43
2016-05-26,36540.97
2016-05-27,36694.259999999995
2016-05-30,36234.689999999995
2016-05-31,36061.56
2016-06-01,36496.159999999996
2016-06-02,36839.14
2016-06-03,37223
2016-06-06,37352.27
2016-06-07,37392.28999999999
2016-06-08,37426.39
2016-06-09,37414.259999999995
2016-06-10,36940.880000000005
2016-06-13,36979.96
2016-06-14,37517.75
2016-06-15,38559.87
2016-06-16,38751.6
2016-06-17,38776.94
2016-06-20,38469.82
2016-06-21,38415.310000000005
2016-06-22,38149.259999999995
2016-06-23,38237.89
2016-06-24,37389.880000000005
2016-06-27,37039.57
2016-06-28,37076.63
2016-06-29,37786.57
